num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,longitud,latitud,positiva_alcohol,positiva_droga
2024S000682,09/01/2024,16:20:00,"CALL. AYALA, 1",1,4,SALAMANCA,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.68903229662,40.42795762009051,false,false
2024S000803,10/01/2024,8:15:00,"PASEO. PONTONES, 18",18,2,ARGANZUELA,Colisión fronto-lateral,Nublado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Mujer,2,Ingreso inferior o igual a 24 horas,-3.71742714737,40.40421725252764,false,false
2024S000909,11/01/2024,15:20:00,"CALL. ALBADALEJO, 42",42,20,SAN BLAS-CANILLEJAS,Caída,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.6158830513,40.43582993515645,false,false
2024S000988,12/01/2024,16:40:00,"CALL. ANTONIO LOPEZ, 256A",256A,12,USERA,Colisión lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,Desconocido,Hombre,14,Sin asistencia sanitaria,-3.69554731373,40.379458845492756,false,false
2024S001002,12/01/2024,17:12:00,"CALL. OLIVAR, 52",52,1,CENTRO,Atropello a persona,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,14,Sin asistencia sanitaria,-3.70141762089,40.40933352595862,false,false
2024S001024,12/01/2024,22:00:00,"CALL. MENDEZ ALVARO, 21",21,2,ARGANZUELA,Alcance,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.68540312543,40.40025833935029,false,false
2024S001264,13/01/2024,8:25:00,"CALL. TOLEDO, 172",172,2,ARGANZUELA,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,-3.71390331747,40.40196878036871,true,false
2024S001308,13/01/2024,17:45:00,SENDA FLUVIAL DEL MANZANARES S/N,43,9,MONCLOA-ARAVACA,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.75322913691,40.46971018740291,false,false
2024S001419,14/01/2024,9:14:00,"AVDA. REAL DE PINTO, 1",1,17,VILLAVERDE,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,Más de 74 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.70602361625,40.34931389878366,false,false
2024S001426,14/01/2024,10:50:00,CTRA. ESTACION DE HORTALEZA / AVDA. NICETO ALCALA ZAMORA,1,16,HORTALEZA,Caída,Lluvia débil,Bicicleta,Conductor,De 55 a 59 años,Hombre,1,Atención en urgencias sin posterior ingreso,-3.64976222352,40.48048224870549,false,false
2024S001434,14/01/2024,14:35:00,CALL. PEZ / CALL. SAN ROQUE,6,1,CENTRO,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 18 a 20 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.70428204175,40.42294679590761,false,false
2024S001447,14/01/2024,18:30:00,CALL. CARAMUEL / CALL. VIA CARPETANA,70,10,LATINA,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),Conductor,De 40 a 44 años,Mujer,3,Ingreso superior a 24 horas,-3.72995653647,40.40223792035424,false,false
2024S001451,14/01/2024,19:30:00,CALL. VIRGEN DE LA ALEGRIA / PLAZA. JOSE BANUS,18,15,CIUDAD LINEAL,Caída,Nublado,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.65566684821,40.43495348390894,false,false
2024S001473,15/01/2024,8:18:00,CALL. MORATINES / CALL. MARTIN DE VARGAS,8,2,ARGANZUELA,Caída,Lluvia débil,Bicicleta,Conductor,De 40 a 44 años,Hombre,1,Atención en urgencias sin posterior ingreso,-3.70232386537,40.40354420889013,false,false
2024S001478,03/01/2024,8:45:00,CALL. MIRASIERRA / CALL. CALESAS,7,12,USERA,Caída,Lluvia débil,Bicicleta,Conductor,De 60 a 64 años,Hombre,3,Ingreso superior a 24 horas,-3.7057498919,40.3896854119237,false,false
2024S001485,14/01/2024,14:05:00,CALL. TUDESCOS / CALL. MIGUEL MOYA,4,1,CENTRO,Caída,LLuvia intensa,Bicicleta,Conductor,De 45 a 49 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.70562969322,40.42105569042027,false,false
2024S001491,15/01/2024,11:45:00,CALL. CABEZA MESADA / CALL. PUERTO DE PORZUNA,38,18,VILLA DE VALLECAS,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Mujer,1,Atención en urgencias sin posterior ingreso,-3.62476855055,40.37289884383423,false,false
2024S001495,15/01/2024,12:00:00,"PLAZA. INDEPENDENCIA, 5",5,4,SALAMANCA,Caída,Lluvia débil,Bicicleta,Conductor,De 35 a 39 años,Hombre,1,Atención en urgencias sin posterior ingreso,-3.68848461923,40.42049239236051,false,false
2024S001567,16/01/2024,8:20:00,CALL. ANTONIO TOLEDANO / CALL. FUNDADORES,9,4,SALAMANCA,Caída,Nublado,Bicicleta EPAC (pedaleo asistido),Conductor,De 55 a 59 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,-3.66690687606,40.4246188902961,false,false
2024S001576,16/01/2024,12:00:00,CALL. DATIL / CALL. CARABANCHEL BAJO,33,11,CARABANCHEL,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.74607525895,40.37533304810825,false,false
2024S001577,15/01/2024,11:25:00,CALL. NECTAR / CALL. SAN MARIANO,22,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,-3.61217907214,40.44212890586858,false,false
2024S001589,16/01/2024,14:44:00,"CALL. ALBERTO AGUILERA, 10",10,7,CHAMBERÍ,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 55 a 59 años,Hombre,3,Ingreso superior a 24 horas,-3.70701765605,40.42977695914306,false,false
2024S001613,16/01/2024,18:28:00,"CMNO. ZARZON, 6",6,9,MONCLOA-ARAVACA,Caída,Lluvia débil,Bicicleta,Conductor,De 10 a 14 años,Hombre,14,Sin asistencia sanitaria,-3.76077852794,40.40903024469599,false,false
2024S001750,18/01/2024,20:15:00,"CALL. FERRAZ, 24",24,9,MONCLOA-ARAVACA,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,-3.71637619138,40.42513375457143,false,false
2024S001791,19/01/2024,8:30:00,"PLAZA. VILLA, 1",1,1,CENTRO,Caída,LLuvia intensa,Bicicleta,Conductor,De 45 a 49 años,Hombre,1,Atención en urgencias sin posterior ingreso,-3.71052173427,40.415467152591994,false,false
2024S001803,19/01/2024,15:20:00,CALL. JORGE JUAN / CALL. ALCALA,64,4,SALAMANCA,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),Conductor,De 45 a 49 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.67818868137,40.423481185092214,false,false
2024S001811,19/01/2024,15:20:00,"CALL. BOLIVAR, 22A",22A,2,ARGANZUELA,Caída,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.69137960376,40.392384860411646,false,false
2024S001811,19/01/2024,15:20:00,"CALL. BOLIVAR, 22A",22A,2,ARGANZUELA,Caída,Lluvia débil,Bicicleta,Peatón,De 45 a 49 años,Hombre,14,Sin asistencia sanitaria,-3.69137960376,40.392384860411646,false,false
2024S002228,21/01/2024,15:50:00,"CALL. VERSALLES, 157A",157A,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,3,Ingreso superior a 24 horas,-3.61188004532,40.418247501379376,false,false
2024S002428,23/01/2024,17:30:00,"CALL. NADOR, 23",23,6,TETUÁN,Colisión lateral,Desconocido,Bicicleta EPAC (pedaleo asistido),Conductor,De 10 a 14 años,Hombre,14,Sin asistencia sanitaria,-3.69526616451,40.47348778389407,false,false
2024S002432,23/01/2024,18:50:00,CALL. CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN / CALL. CARAMUEL,1,10,LATINA,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Mujer,2,Ingreso inferior o igual a 24 horas,-3.72979311079,40.403473192582744,false,false
2024S002437,23/01/2024,18:50:00,"CALL. VALMOJADO, 45",45,10,LATINA,Colisión lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.75815088752,40.39752493537569,false,false
2024S002481,23/01/2024,7:40:00,PASEO. CAMOENS Y VALERO / PASEO. RUPERTO CHAPI,4,9,MONCLOA-ARAVACA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.72700720457,40.43259892905161,false,false
2024S002516,24/01/2024,11:50:00,CALL. ALCALA / IDB. PUENTE DE VENTAS,206,4,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.66125381395,40.431182914391634,false,false
2024S002718,25/01/2024,16:30:00,AVDA. COMPLUTENSE / CALL. JOSE ANTONIO NOVAIS,6,9,MONCLOA-ARAVACA,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,1,Atención en urgencias sin posterior ingreso,-3.72740908332,40.44582161373752,false,false
2024S002783,26/01/2024,12:05:00,"CALL. PARQUE EUGENIA DE MONTIJO, 18",18,11,CARABANCHEL,Atropello a persona,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 65 a 69 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.75353588705,40.37887029131527,false,false
2024S002783,26/01/2024,12:05:00,"CALL. PARQUE EUGENIA DE MONTIJO, 18",18,11,CARABANCHEL,Atropello a persona,Despejado,Bicicleta EPAC (pedaleo asistido),Peatón,De 60 a 64 años,Hombre,14,Sin asistencia sanitaria,-3.75353588705,40.37887029131527,false,false
2024S002795,26/01/2024,15:00:00,CALL. ARTURO SORIA / CALL. BUESO PINEDA,143,15,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 45 a 49 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,-3.65511055222,40.454163856015995,false,false
2024S002805,26/01/2024,16:00:00,"AVDA. MORERAS, 3",3,9,MONCLOA-ARAVACA,Alcance,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.72014601554,40.45031752978024,false,false
2024S002805,26/01/2024,16:00:00,"AVDA. MORERAS, 3",3,9,MONCLOA-ARAVACA,Alcance,Despejado,Bicicleta,Pasajero,De 21 a 24 años,Hombre,14,Sin asistencia sanitaria,-3.72014601554,40.45031752978024,false,false
2024S002805,26/01/2024,16:00:00,"AVDA. MORERAS, 3",3,9,MONCLOA-ARAVACA,Alcance,Despejado,Bicicleta,Peatón,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,-3.72014601554,40.45031752978024,false,false
2024S002805,26/01/2024,16:00:00,"AVDA. MORERAS, 3",3,9,MONCLOA-ARAVACA,Alcance,Despejado,Bicicleta,Peatón,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,-3.72014601554,40.45031752978024,false,false
2024S003148,28/01/2024,0:00:00,"PASEO. PRADO, 48",48,1,CENTRO,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.69231174175,40.40976678874476,false,false
2024S003233,28/01/2024,2:30:00,"CALL. LUCHANA, 21",21,7,CHAMBERÍ,Alcance,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.70039813435,40.43035779365854,false,false
2024S003434,29/01/2024,14:30:00,"CALL. GENERAL RICARDOS, 104",104,11,CARABANCHEL,Colisión lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,-3.72519876888,40.39264617702739,false,false
2024S003457,29/01/2024,20:17:00,CALL. ELOY GONZALO / CALL. TRAFALGAR,17,7,CHAMBERÍ,Alcance,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,-3.70132355122,40.43432516089745,false,false
2024S003464,29/01/2024,20:42:00,"CALL. EMBAJADORES, 86",86,2,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.70139134685,40.40339671531661,false,false
2024S003525,30/01/2024,17:06:00,CTRA. ALCOBENDAS A BARAJAS / CALL. CONCORDIA,14,21,BARAJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.59921757708,40.49358411752664,false,false
2024S003536,30/01/2024,18:35:00,CALL. SOFIA / AVDA. CANILLEJAS A VICALVARO,7,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,-3.61035323022,40.41885917916006,false,false
2024S003547,30/01/2024,22:10:00,CALL. SOLEDAD CAZORLA / CALL. VALLE INCLAN,1,10,LATINA,Caída,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,-3.77477289476,40.37655876761265,true,false
2024S003582,31/01/2024,9:35:00,CALL. JERONIMA LLORENTE / AVDA. DOCTOR FEDERICO RUBIO Y GALI,78,6,TETUÁN,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.70940995044,40.45212265062111,false,false
2024S003590,31/01/2024,14:25:00,CALL. ILLESCAS / CALL. CAMARENA,80,10,LATINA,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.75609833964,40.39206086731723,false,false
2024S003612,31/01/2024,18:20:00,"AEROP. TERMINAL T-4, 0",0,21,BARAJAS,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,-3.59051125949,40.48308844297229,false,false
2024S003651,01/02/2024,13:15:00,AVDA. POBLADOS / CALL. VALMOJADO,41,10,LATINA,Colisión lateral,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,-3.7614794242,40.38546695524683,false,false
2024S003865,02/02/2024,23:40:00,"CALL. TOLEDO, 90",90,1,CENTRO,Colisión frontal,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.71068400135,40.40848414331853,false,false
2024S004039,03/02/2024,9:38:00,PUENTE DE VALLECAS,2,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.65379216449,40.39110798118069,false,false
2024S004039,03/02/2024,9:38:00,PUENTE DE VALLECAS,2,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Bicicleta,Peatón,De 60 a 64 años,Mujer,14,Sin asistencia sanitaria,-3.65379216449,40.39110798118069,false,false
2024S004248,04/02/2024,10:10:00,"RONDA. ATOCHA, 2",2,1,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.69433752224,40.4073402135323,false,false
2024S004259,03/02/2024,16:15:00,"CALL. MONASTERIO DE LAS HUELGAS, 5",5,8,FUENCARRAL-EL PARDO,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.70740092515,40.50117968177429,false,false
2024S004298,04/02/2024,22:00:00,"CALL. SILVA, 25",25,1,CENTRO,Colisión frontal,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 35 a 39 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.70557913534,40.42185780306852,false,false
2024S004705,31/01/2024,9:05:00,CALL. VIRGEN DE LLUC / CALL. BUEN GOBERNADOR,12,15,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.65477782895,40.4344630260167,false,false
2024S004815,08/02/2024,0:20:00,CALL. CAIDOS DE LA DIVISION AZUL / CALL. ALFONSO VIII,6,5,CHAMARTÍN,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.67663993466,40.4677154717608,false,false
2024S004966,08/02/2024,20:15:00,"PASEO. ESPERANZA, 31",31,2,ARGANZUELA,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.70389025627,40.400057184489015,false,false
2024S004985,08/02/2024,22:50:00,"CALL. SANCHEZ PRECIADO, 73",73,9,MONCLOA-ARAVACA,Caída,Lluvia débil,Bicicleta,Conductor,De 30 a 34 años,Mujer,1,Atención en urgencias sin posterior ingreso,-3.70947123364,40.463554666899086,false,false
2024S005005,09/02/2024,8:06:00,CALL. CONVENIO / CALL. MENDEZ ALVARO,25,13,PUENTE DE VALLECAS,Caída,Lluvia débil,Bicicleta,Conductor,De 50 a 54 años,Mujer,3,Ingreso superior a 24 horas,-3.6720991959,40.391994023943404,false,false
2024S005032,09/02/2024,14:05:00,CALL. VELAZQUEZ / CALL. DIEGO DE LEON,100,4,SALAMANCA,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.68328763177,40.434604340917076,false,false
2024S005074,09/02/2024,21:45:00,"CALL. VALDERRIBAS, 48",48,3,RETIRO,Caída,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Hombre,3,Ingreso superior a 24 horas,-3.6723843558,40.40289335515606,false,false
2024S005111,09/02/2024,22:35:00,"CALL. SAN GERMAN, 12",12,6,TETUÁN,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.69288317327,40.45626793115199,false,false
2024S005143,10/02/2024,12:00:00,AVDA. NICETO ALCALA ZAMORA / CALL. MARIA DE PORTUGAL,33,16,HORTALEZA,Colisión fronto-lateral,Nublado,Bicicleta,Conductor,De 50 a 54 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.65899512634,40.500474870010116,false,false
2024S005170,10/02/2024,21:00:00,PLAZA. MADRE MOLAS / CALL. PADRE DAMIAN,2,5,CHAMARTÍN,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.68507269606,40.46294509604069,false,false
2024S005280,11/02/2024,12:15:00,CALL. MANUEL NOYA / CALL. JUAN ESPAÑOL,15,12,USERA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.71252720815,40.38657175152883,false,false
2024S005335,12/02/2024,9:20:00,"CALL. ALCALA, 28",28,1,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.69850253841,40.4180629238195,false,false
2024S005354,12/02/2024,9:30:00,CALL. TOLEDO / CALL. CAPITAN SALAZAR MARTINEZ,123,1,CENTRO,Atropello a persona,Desconocido,Bicicleta,Conductor,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,-3.71129721204,40.40739928606176,false,false
2024S005472,12/02/2024,15:10:00,CALL. HERMANOS GARCIA NOBLEJAS / CALL. SANTO DOMINGO SAVIO,68,15,CIUDAD LINEAL,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,-3.63325336676,40.43114148138205,false,false
2024S005526,13/02/2024,8:20:00,ANILLO VERDE CICLISTA P.K. 23.600,73,13,PUENTE DE VALLECAS,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.65959713177,40.3689756612448,false,false
2024S005571,13/02/2024,16:30:00,CALL. ALFONSO XII / CALL. CLAUDIO MOYANO,54,3,RETIRO,Caída,Despejado,Bicicleta,Conductor,De 21 a 24 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,-3.68884030303,40.41029203001793,false,false
2024S005615,14/02/2024,13:05:00,"CALL. DOCTOR ESQUERDO, 83",83,3,RETIRO,Caída,Despejado,Bicicleta,Conductor,De 70 a 74 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.66909530299,40.41824585928958,false,false
2024S005616,14/02/2024,12:20:00,"AVDA. ARCENTALES, 20",20,20,SAN BLAS-CANILLEJAS,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.61028371042,40.43464340921362,false,false
2024S005645,14/02/2024,16:10:00,"CALL. ALCALDE SAINZ DE BARANDA, 109",109,3,RETIRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,1,Atención en urgencias sin posterior ingreso,-3.66504224502,40.41962060182405,false,false
2024S005670,15/02/2024,1:05:00,"CALL. AMBROS, 30",30,4,SALAMANCA,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,-3.66360332883,40.423133389301825,true,false
2024S005677,09/02/2024,14:00:00,PLAZA. REPUBLICA DE CHILE / AVDA. SENECA,0,9,MONCLOA-ARAVACA,Colisión lateral,Despejado,Bicicleta,Conductor,De 40 a 44 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.73389952716,40.43433916345464,false,false
2024S005800,16/02/2024,13:41:00,CALL. JOSE ORTEGA Y GASSET / CALL. MONTESA,79,4,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,3,Ingreso superior a 24 horas,-3.67243972703,40.42976703735108,false,false
2024S005803,16/02/2024,14:50:00,"GTA. PUENTE DE SEGOVIA, 3",3,10,LATINA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.72388526391,40.41412298948175,false,false
