FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/03/2025;ES34;1-;273;258;218;235;197;180;181;191;217;281;320;358;
01/03/2025;ES34;1=;321;285;297;299;317;336;331;333;308;339;300;256;
01/03/2025;ES34;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES34;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES36;1-;644;504;366;355;392;388;335;338;602;724;924;1036;
01/03/2025;ES36;1=;1217;1278;885;837;1056;981;916;1068;899;833;749;817;
01/03/2025;ES36;2-;463;299;231;220;286;290;303;370;701;943;1260;1354;
01/03/2025;ES36;2=;1465;1273;849;921;1064;1213;1268;1260;1041;689;674;615;
01/03/2025;ES37;1-;425;309;228;176;179;274;248;337;587;788;984;1055;
01/03/2025;ES37;1=;1135;1170;774;796;944;912;838;785;756;558;651;559;
01/03/2025;ES37;2-;320;214;196;174;219;338;395;539;920;1035;1307;1388;
01/03/2025;ES37;2=;1638;1361;793;792;977;1158;1191;1281;1061;607;607;522;
01/03/2025;ES38;1-;145;13;57;21;25;28;45;78;124;216;294;361;
01/03/2025;ES38;1=;426;469;400;261;229;288;288;286;331;282;199;183;
01/03/2025;ES38;2-;93;14;12;19;23;26;48;66;130;191;286;350;
01/03/2025;ES38;2=;384;414;293;201;213;290;282;263;221;174;118;110;
01/03/2025;ES39;1-;981;0;339;202;155;180;232;356;508;777;926;1065;
01/03/2025;ES39;1=;1405;1618;1918;2098;1010;1153;1503;1693;1602;1597;1320;836;
01/03/2025;ES39;2-;657;609;375;194;107;109;146;280;473;775;999;1292;
01/03/2025;ES39;2=;1648;1707;1958;1666;960;1057;1290;1379;1304;1291;1130;764;
01/03/2025;ES40;1-;582;471;318;280;299;302;312;602;708;1004;1204;1352;
01/03/2025;ES40;1=;1602;1739;1027;926;1170;1222;1289;1389;1159;822;667;698;
01/03/2025;ES40;2-;677;553;349;348;348;385;603;870;844;1060;1216;1380;
01/03/2025;ES40;2=;1532;1380;909;905;1070;1128;1088;1165;1234;934;911;934;
01/03/2025;ES41;1-;359;282;284;191;248;307;319;415;535;759;839;910;
01/03/2025;ES41;1=;982;934;673;712;774;836;740;646;1145;1087;520;473;
01/03/2025;ES41;2-;270;170;146;142;159;180;287;337;500;640;775;866;
01/03/2025;ES41;2=;987;942;668;626;695;705;702;726;625;464;469;404;
01/03/2025;ES42;1-;253;218;148;160;153;191;110;141;219;260;323;380;
01/03/2025;ES42;1=;400;387;284;294;375;308;346;382;367;293;270;266;
01/03/2025;ES42;2-;248;143;115;79;95;103;61;137;173;274;375;393;
01/03/2025;ES42;2=;456;420;253;254;358;337;315;373;380;251;222;262;
01/03/2025;ES43;1-;221;31;168;115;141;135;156;173;243;324;426;477;
01/03/2025;ES43;1=;470;522;497;307;328;428;410;369;442;383;255;214;
01/03/2025;ES43;2-;253;31;99;118;90;96;127;122;155;265;289;357;
01/03/2025;ES43;2=;407;474;413;350;324;401;367;379;368;352;261;270;
01/03/2025;ES44;1-;1050;840;687;582;427;474;389;532;707;929;1304;1451;
01/03/2025;ES44;1=;1617;1532;1244;1272;1321;1401;1312;1350;1424;1071;878;945;
01/03/2025;ES44;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES44;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES45;1-;939;733;488;408;324;413;375;637;784;981;1176;1418;
01/03/2025;ES45;1=;1628;1525;1266;1189;1330;1321;1309;1467;1435;1201;1086;1027;
01/03/2025;ES45;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES45;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES46;1-;173;145;111;97;164;215;369;426;552;769;972;1031;
01/03/2025;ES46;1=;967;836;699;738;710;1439;883;704;600;509;439;299;
01/03/2025;ES46;2-;188;124;110;95;136;199;270;322;456;634;752;907;
01/03/2025;ES46;2=;1064;965;784;620;614;732;758;637;640;532;410;308;
01/03/2025;ES47;1-;284;251;158;141;145;168;240;329;506;608;653;753;
01/03/2025;ES47;1=;760;691;674;585;603;631;697;645;588;525;444;365;
01/03/2025;ES47;2-;298;296;217;197;211;225;244;311;481;603;607;675;
01/03/2025;ES47;2=;665;655;556;578;607;525;518;608;546;385;573;473;
01/03/2025;ES48;1-;181;124;104;91;134;237;297;361;554;594;757;848;
01/03/2025;ES48;1=;887;731;557;557;608;802;1021;983;633;413;442;293;
01/03/2025;ES48;2-;197;174;130;95;124;199;232;327;504;587;702;807;
01/03/2025;ES48;2=;829;726;529;542;633;606;590;596;492;423;918;309;
01/03/2025;ES49;1-;226;128;87;106;130;134;201;319;340;433;577;579;
01/03/2025;ES49;1=;663;689;405;400;511;517;479;533;450;342;346;357;
01/03/2025;ES49;2-;140;101;49;56;48;47;57;82;156;181;261;339;
01/03/2025;ES49;2=;347;398;455;283;254;272;353;329;319;285;176;132;
01/03/2025;ES50;1-;205;145;126;92;101;88;60;67;81;127;172;187;
01/03/2025;ES50;1=;269;282;253;261;220;209;242;275;273;270;196;164;
01/03/2025;ES50;2-;208;166;164;127;130;106;109;98;140;191;244;330;
01/03/2025;ES50;2=;460;431;398;265;217;273;300;384;385;397;299;237;
01/03/2025;ES51;1-;150;91;75;57;38;51;78;87;106;216;274;324;
01/03/2025;ES51;1=;369;428;403;292;224;268;299;288;348;322;221;149;
01/03/2025;ES51;2-;113;76;38;34;45;47;42;61;103;145;234;290;
01/03/2025;ES51;2=;339;316;355;186;149;223;207;197;218;236;140;118;
01/03/2025;ES52;1-;188;108;79;60;46;44;54;79;122;217;285;410;
01/03/2025;ES52;1=;429;530;548;337;286;387;397;432;434;351;279;205;
01/03/2025;ES52;2-;129;89;54;37;23;27;35;55;82;130;200;258;
01/03/2025;ES52;2=;289;340;292;182;141;219;198;214;213;182;132;126;
01/03/2025;ES53;1-;170;19;149;84;83;83;89;100;141;190;258;287;
01/03/2025;ES53;1=;336;342;324;369;313;323;259;291;291;285;228;206;
01/03/2025;ES53;2-;261;43;147;149;141;133;171;215;265;351;437;448;
01/03/2025;ES53;2=;482;454;492;437;433;476;479;425;414;379;350;303;
01/03/2025;ES54;1-;135;26;68;67;58;57;61;102;123;176;217;251;
01/03/2025;ES54;1=;234;277;278;225;229;262;242;129;224;220;166;134;
01/03/2025;ES54;2-;181;32;66;76;59;63;81;115;146;218;246;266;
01/03/2025;ES54;2=;278;314;306;273;283;263;256;284;292;290;199;196;
01/03/2025;ES55;1-;105;16;45;27;28;30;73;72;98;165;221;238;
01/03/2025;ES55;1=;279;321;254;195;191;217;213;222;217;189;126;128;
01/03/2025;ES55;2-;76;10;44;26;18;33;45;68;86;111;209;204;
01/03/2025;ES55;2=;238;265;231;174;185;187;185;180;203;208;110;111;
01/03/2025;ES56;1-;46;50;28;26;35;75;89;131;196;174;233;222;
01/03/2025;ES56;1=;239;213;143;154;198;161;186;190;136;130;673;124;
01/03/2025;ES56;2-;38;32;23;21;26;35;63;59;91;88;108;139;
01/03/2025;ES56;2=;138;140;87;89;103;136;252;209;107;107;121;76;
01/03/2025;ES57;1-;129;55;39;31;51;74;114;170;254;356;449;552;
01/03/2025;ES57;1=;556;453;327;351;411;460;428;496;374;354;315;281;
01/03/2025;ES57;2-;55;51;32;36;34;63;84;128;287;333;439;497;
01/03/2025;ES57;2=;570;484;292;307;486;514;496;428;362;272;198;133;
01/03/2025;ES58;1-;54;51;29;35;33;64;77;128;217;236;286;338;
01/03/2025;ES58;1=;324;232;192;178;216;236;268;253;190;144;142;80;
01/03/2025;ES58;2-;49;24;20;22;22;39;50;87;142;180;175;208;
01/03/2025;ES58;2=;248;189;154;139;145;178;165;174;154;129;167;68;
01/03/2025;ES59;1-;69;42;40;49;37;53;93;90;124;174;211;252;
01/03/2025;ES59;1=;292;243;191;151;141;172;195;198;206;182;142;116;
01/03/2025;ES59;2-;46;26;26;25;30;52;60;85;143;169;203;207;
01/03/2025;ES59;2=;198;171;146;141;165;161;137;147;119;110;88;61;
01/03/2025;ES60;1-;68;58;43;39;46;73;109;170;287;350;468;464;
01/03/2025;ES60;1=;407;338;213;238;295;357;311;336;259;137;133;127;
01/03/2025;ES60;2-;108;64;46;28;40;57;87;116;206;341;326;375;
01/03/2025;ES60;2=;430;368;225;200;241;309;316;299;290;230;208;154;
02/03/2025;ES01;1-;700;545;417;406;309;308;146;172;159;242;407;521;
02/03/2025;ES01;1=;684;681;568;847;989;891;840;792;679;560;536;276;
02/03/2025;ES01;2-;658;548;385;322;318;359;262;255;341;514;798;914;
02/03/2025;ES01;2=;933;877;703;750;879;870;784;699;502;424;426;298;
02/03/2025;ES02;1-;376;399;370;354;310;244;196;169;137;166;284;394;
02/03/2025;ES02;1=;371;395;432;400;393;451;412;378;363;358;290;269;
02/03/2025;ES02;2-;1139;977;803;673;585;559;506;443;401;482;685;916;
02/03/2025;ES02;2=;1026;1084;1130;1037;996;1038;966;1001;1039;988;810;656;
02/03/2025;ES03;1-;496;385;263;248;172;187;201;332;286;471;683;1021;
02/03/2025;ES03;1=;1099;1229;1236;795;756;976;1103;1133;1099;834;502;382;
02/03/2025;ES03;2-;387;243;175;142;91;88;102;139;181;212;317;468;
02/03/2025;ES03;2=;609;768;797;607;477;602;610;652;706;626;414;425;
02/03/2025;ES04;1-;452;382;243;200;158;148;172;204;186;254;372;522;
02/03/2025;ES04;1=;648;852;901;563;567;714;817;852;834;676;498;345;
02/03/2025;ES04;2-;230;206;127;94;81;82;81;112;173;289;417;549;
02/03/2025;ES04;2=;715;698;535;328;303;367;440;436;401;401;233;154;
02/03/2025;ES05;1-;2074;1494;1383;1114;1037;829;991;881;614;879;1044;1371;
02/03/2025;ES05;1=;1736;1726;1881;1730;1726;1934;1682;1768;1668;1487;1415;1567;
02/03/2025;ES05;2-;633;486;362;284;280;296;497;445;493;611;731;1001;
02/03/2025;ES05;2=;1092;1161;1223;902;936;1262;1255;1235;1179;974;829;612;
02/03/2025;ES06;1-;109;74;47;46;34;67;76;115;132;251;354;465;
02/03/2025;ES06;1=;581;498;288;325;384;421;409;369;314;206;133;59;
02/03/2025;ES06;2-;125;62;56;46;53;54;81;100;145;230;358;428;
02/03/2025;ES06;2=;549;404;212;286;342;400;344;300;252;166;121;68;
02/03/2025;ES07;1-;1440;869;651;280;308;304;655;576;605;747;1033;1488;
02/03/2025;ES07;1=;1812;2096;1974;1559;1539;1820;1925;1824;1841;1579;1312;948;
02/03/2025;ES07;2-;755;517;364;390;267;377;664;644;636;829;1234;1446;
02/03/2025;ES07;2=;1598;1805;1485;1176;1306;1579;1658;1574;1568;1343;921;536;
02/03/2025;ES08;1-;749;807;771;736;664;560;446;508;472;527;623;730;
02/03/2025;ES08;1=;822;782;753;766;840;826;747;672;707;668;589;532;
02/03/2025;ES08;2-;798;750;704;697;651;569;495;491;480;529;662;734;
02/03/2025;ES08;2=;808;822;846;802;807;801;771;680;736;728;594;549;
02/03/2025;ES09;1-;598;642;591;539;461;472;431;415;428;527;673;761;
02/03/2025;ES09;1=;819;812;743;792;741;686;623;579;592;540;494;403;
02/03/2025;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
02/03/2025;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
02/03/2025;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
02/03/2025;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
02/03/2025;ES10;2-;283;213;184;151;116;151;164;159;183;267;347;443;
02/03/2025;ES10;2=;407;499;447;435;397;445;439;445;415;391;400;197;
02/03/2025;ES11;1-;1318;1091;579;345;240;208;294;669;933;1046;1478;1921;
02/03/2025;ES11;1=;2525;2770;3294;3059;1862;2138;2708;2819;2840;2600;2047;1412;
02/03/2025;ES11;2-;1477;1165;655;490;295;270;301;634;736;970;1291;1897;
02/03/2025;ES11;2=;2676;3201;3847;3547;2534;2845;3487;3530;3268;2935;2698;2138;
02/03/2025;ES12;1-;1282;1126;949;847;765;657;547;610;839;1197;1565;1645;
02/03/2025;ES12;1=;1776;1648;1498;1616;1643;1749;1668;1651;1554;1411;1213;620;
02/03/2025;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0;
02/03/2025;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0;
02/03/2025;ES13;1-;866;729;640;514;429;398;227;230;287;411;563;728;
02/03/2025;ES13;1=;880;826;686;755;881;828;843;854;640;554;541;328;
02/03/2025;ES13;2-;1013;889;775;585;484;437;265;271;316;523;696;901;
02/03/2025;ES13;2=;1027;969;886;888;958;974;926;982;763;683;603;391;
02/03/2025;ES14;1-;86;75;58;54;43;32;23;52;77;81;164;185;
02/03/2025;ES14;1=;217;196;153;145;155;172;156;145;136;117;74;34;
02/03/2025;ES14;2-;66;65;33;21;27;15;18;36;50;83;99;144;
02/03/2025;ES14;2=;197;171;134;104;118;136;117;113;109;75;61;39;
02/03/2025;ES15;1-;185;130;105;89;94;104;111;109;210;246;333;429;
02/03/2025;ES15;1=;451;367;272;305;429;356;369;406;343;264;215;140;
02/03/2025;ES15;2-;90;68;36;49;49;44;46;71;130;169;285;332;
02/03/2025;ES15;2=;469;437;226;294;339;355;357;352;297;227;135;72;
02/03/2025;ES16;1-;809;696;601;495;428;374;235;281;361;542;742;835;
02/03/2025;ES16;1=;993;986;807;850;1040;989;925;940;724;648;641;357;
02/03/2025;ES16;2-;648;491;403;331;335;282;218;229;287;569;740;830;
02/03/2025;ES16;2=;1121;1033;727;757;855;887;893;843;667;486;363;259;
02/03/2025;ES17;1-;1023;848;664;541;553;576;487;622;935;1440;1896;2108;
02/03/2025;ES17;1=;2485;2320;1665;1820;2136;2275;2132;2075;1807;1500;1057;489;
02/03/2025;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0;
02/03/2025;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0;
02/03/2025;ES18;1-;200;181;164;127;91;80;77;106;169;289;396;497;
02/03/2025;ES18;1=;574;504;284;302;314;360;328;365;221;158;126;81;
02/03/2025;ES18;2-;380;263;206;172;145;100;68;89;165;193;317;375;
02/03/2025;ES18;2=;494;542;405;387;474;433;461;482;429;350;272;123;
02/03/2025;ES19;1-;510;409;392;314;280;271;236;241;358;474;623;662;
02/03/2025;ES19;1=;689;665;499;576;645;601;658;654;511;424;371;250;
02/03/2025;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0;
02/03/2025;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0;
02/03/2025;ES20;1-;5744;4331;2379;1555;1213;1069;1197;1878;2052;2292;3202;4669;
02/03/2025;ES20;1=;5976;6856;8483;8311;6486;6848;8026;7856;6769;7208;6178;5054;
02/03/2025;ES20;2-;4430;3484;2075;1494;1122;1162;1590;2868;2935;2888;4031;5649;
02/03/2025;ES20;2=;6978;7959;9064;8747;6243;6845;8116;8991;8409;8186;6795;5166;
02/03/2025;ES21;1-;178;117;108;80;85;81;83;95;181;259;341;445;
02/03/2025;ES21;1=;497;466;329;368;386;392;444;390;355;267;147;109;
02/03/2025;ES21;2-;253;187;201;142;132;131;146;204;303;560;774;813;
02/03/2025;ES21;2=;1061;965;521;625;809;871;882;711;519;326;214;122;
02/03/2025;ES22;1-;595;496;396;323;308;260;371;318;319;469;513;734;
02/03/2025;ES22;1=;864;852;911;725;723;868;794;782;795;631;499;475;
02/03/2025;ES22;2-;754;585;477;373;348;266;354;313;287;432;580;758;
02/03/2025;ES22;2=;976;960;937;732;739;799;790;782;743;632;592;568;
02/03/2025;ES23;1-;1130;1104;957;830;803;629;781;576;496;155;43;29;
02/03/2025;ES23;1=;56;20;19;20;926;1400;1347;1365;1279;1119;913;826;
02/03/2025;ES23;2-;2114;1831;1711;1410;1290;1069;1106;833;710;889;1141;1453;
02/03/2025;ES23;2=;1791;1724;1677;1685;1647;1785;1616;1519;1439;1339;1325;1463;
02/03/2025;ES24;1-;468;364;290;265;205;170;173;113;137;250;376;552;
02/03/2025;ES24;1=;576;652;611;472;498;536;473;435;466;413;315;274;
02/03/2025;ES24;2-;312;310;288;235;225;179;168;161;195;275;418;584;
02/03/2025;ES24;2=;647;636;596;463;403;433;390;366;381;290;256;222;
02/03/2025;ES25;1-;136;183;169;172;152;126;109;100;95;117;126;138;
02/03/2025;ES25;1=;161;170;142;177;156;135;125;135;147;121;120;112;
02/03/2025;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0;
02/03/2025;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0;
02/03/2025;ES26;1-;250;239;213;230;175;194;115;122;111;127;157;227;
